dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance
0_0_0_10_14_8,0,0,0,0,8,728281,728283,803,21.177893576348957,20.299509455762625,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,0,8,3228456,3228458,222,22.463380050089327,22.016362118967805,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,1,9,3232552,3232554,711,25.317146627635523,23.203546223758917,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,2,10,3236648,3236650,871,26.476821239853116,24.92373945610272,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,3,11,3240744,3240746,718,28.175983477053844,26.98244384039902,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,4,12,3244840,3244842,107,26.206288832143553,24.647398019905673,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,5,13,3248936,3248938,467,27.691248475673614,26.386398425309828,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,6,14,3253032,3253034,89,30.20010454133083,26.269448944704212,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,7,15,3257128,3257130,713,29.313465042367834,27.704492047631927,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,8,16,3261224,3261226,865,30.02447288275438,27.055047444823344,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,9,17,3265320,3265322,405,30.21486846415081,27.39228259942189,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,10,18,3269416,3269418,765,28.215022492833135,25.77601708786031,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,11,19,3273512,3273514,1023,29.486725544309266,24.327627741298535,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,12,20,3277608,3277610,597,29.03949102565168,27.11143360949352,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,13,21,3281704,3281706,562,27.137561526805385,22.680869354620974,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,14,22,3285800,3285802,478,28.185564410341122,24.409381209974267,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,15,23,3289896,3289898,267,28.578382453237428,25.81479719897372,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,16,24,3293992,3293994,917,26.47319596590661,24.289975846441656,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,17,25,3298088,3298090,656,28.93341890283402,25.604823768325144,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,18,26,3302184,3302186,889,22.387230229283933,20.251245688643262,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,19,27,3306280,3306282,510,23.058534376365138,21.12329965452374,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,20,28,3310376,3310378,860,21.782377463664883,19.978891225917238,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,21,29,3314472,3314474,553,22.59990552476919,20.533376508418662,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,22,30,3318568,3318570,629,24.266542571592893,22.79546982936114,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,23,31,3322664,3322666,759,21.489229003483498,19.89880483424602,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,24,32,3326760,3326762,874,18.067686226596848,16.870744361046718,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,25,33,3330856,3330858,720,20.252198376263877,19.85834469553105,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,26,34,3334952,3334954,314,20.64199871563452,20.998461343932036,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,27,35,3339048,3339050,602,20.12736811678224,19.38609664007228,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,28,36,3343144,3343146,7,15.551284484849566,14.317412496893835,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,1,1,1,29,37,3347240,3347242,610,19.47610052007993,19.190717494563213,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,0,8,5728962,5728964,803,18.529660950295874,17.634929994157474,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,1,9,5733058,5733060,711,17.50580904880392,17.800264773903688,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,2,10,5737154,5737156,871,18.008233566456614,17.173695097776026,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,3,11,5741250,5741252,718,16.623477305743823,17.01003499912055,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,4,12,5745346,5745348,86,16.71845020670957,15.620841346287957,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,5,13,5749443,5749445,467,18.066584235731565,16.605249781306522,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,6,14,5753539,5753541,89,17.219652222512643,16.54020200589853,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,7,15,5757635,5757637,713,17.189511071411484,17.92719291308912,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,8,16,5761731,5761733,865,17.337038871473872,17.172825781288537,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,9,17,5765827,5765829,405,18.098562053397835,19.014245554980157,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,10,18,5769923,5769925,765,18.244938077815803,17.66769736005039,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,11,19,5774019,5774021,1023,19.507211566158407,18.91713699670882,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,12,20,5778115,5778117,597,18.04795908727848,19.256001034502056,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,13,21,5782211,5782213,562,20.03926941076971,18.763840890838225,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,14,22,5786307,5786309,478,19.9226802401174,20.114929931052117,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,15,23,5790403,5790405,267,21.575751125554167,21.142374474550362,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,16,24,5794499,5794501,917,23.278174924007565,20.526172782274603,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,17,25,5798595,5798597,656,20.596827041165135,20.838279979864733,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,18,26,5802691,5802693,889,25.330830667428998,24.34746396851624,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,19,27,5806787,5806789,510,21.116550023094682,21.279620793687613,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,20,28,5810883,5810885,860,26.115628439363356,24.200416041266767,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,21,29,5814979,5814981,553,21.70571987826335,19.36756496534002,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,22,30,5819075,5819077,629,20.560246039739415,21.968866858803114,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,23,31,5823171,5823173,759,22.89667632309076,25.51695002590849,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,24,32,5827267,5827269,874,27.996722529437548,26.507616664488012,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,25,33,5831363,5831365,720,23.92178820143642,26.34922037942403,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,26,34,5835459,5835461,314,24.788890977786963,22.509812993520015,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,27,35,5839555,5839557,602,23.65409903032568,21.051793204538342,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,28,36,5843651,5843653,7,26.151969470364463,22.638365594828905,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,2,2,2,29,37,5847747,5847749,610,23.890280971670958,23.185146367218085,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,0,8,8229277,8229279,222,21.768016507556656,21.77823024366646,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,1,9,8233373,8233375,826,21.456370573504717,20.60998860958103,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,2,10,8237469,8237471,871,22.330895068814982,20.633071549189307,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,3,11,8241565,8241567,718,20.83403323227695,21.61532924958535,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,4,12,8245661,8245663,86,19.83406836319779,17.41011068329712,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,5,13,8249757,8249759,467,18.931867835421862,19.85987782447416,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,6,14,8253853,8253855,89,18.854585786962648,17.511556161178316,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,7,15,8257949,8257951,713,18.259415072292978,18.67043466855351,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,8,16,8262045,8262047,865,18.1604788337417,17.312304171087536,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,9,17,8266141,8266143,405,18.29291708539238,18.43784531843884,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,10,18,8270238,8270240,765,16.15494705099249,15.930607027570126,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,11,19,8274334,8274336,1023,18.01143221200318,16.602413957711885,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,12,20,8278430,8278432,597,17.000278245376027,17.814499321964178,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,13,21,8282526,8282528,562,17.802218996517254,16.92467703326384,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,14,22,8286622,8286624,478,18.18935205796689,16.280244009176045,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,15,23,8290718,8290720,267,19.04820437293847,18.238637732353965,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,16,24,8294814,8294816,917,21.477663032888298,19.74981987301222,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,17,25,8298910,8298912,656,18.66662653786713,19.235258895433923,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,18,26,8303006,8303008,889,21.701987239333647,21.326156886226187,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,19,27,8307102,8307104,510,18.840481605071894,17.650511890357024,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,20,28,8311198,8311200,860,21.611447942364855,20.99065681138622,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,21,29,8315294,8315296,553,19.146488004955657,18.250497462453545,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,22,30,8319390,8319392,629,18.776927928136967,20.439997528360294,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,23,31,8323486,8323488,759,22.18643783467587,22.173664786986564,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,24,32,8327582,8327584,874,25.80351602578741,24.78100772912625,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,25,33,8331678,8331680,720,21.840737378119538,20.440634317935423,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,26,34,8335774,8335776,314,20.95990792379295,19.136660707531338,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,27,35,8339870,8339872,602,20.738188363447957,19.772123533269134,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,28,36,8343966,8343968,7,28.98198059696313,26.076721596360898,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,3,3,3,29,37,8348062,8348064,610,22.47940146188935,21.327097269183454,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,0,8,10729364,10729366,803,22.779985946038206,23.13342680055039,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,1,9,10733460,10733462,826,22.553559142142447,21.400270303794336,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,2,10,10737556,10737558,871,20.04642882702148,19.99571903855719,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,3,11,10741652,10741654,718,19.450658750081246,20.108109800576802,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,4,12,10745748,10745750,107,20.993001583577904,18.91112542233668,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,5,13,10749844,10749846,467,18.470802557295308,19.965239096240385,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,6,14,10753940,10753942,89,19.365937580574265,17.528519624100873,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,7,15,10758036,10758038,713,19.103691726846293,19.083159231360703,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,8,16,10762132,10762134,865,17.226221987847016,16.36905714459541,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,9,17,10766228,10766230,405,17.63812227555055,18.693436258012753,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,10,18,10770324,10770326,765,16.463678637901438,16.97779557999614,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
0_0_0_10_14_8,4,4,4,11,19,10774420,10774422,1023,16.570006439884246,15.468294502488256,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode
