scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-58.0,0,19,478,478,478,478,478,478,478,478,5.6708310700811895,1.2811483259667789,0
thermal_only,-58.0,0,20,79,79,79,79,79,79,79,79,6.968431969173533,1.2698942168297098,0
thermal_only,-58.0,0,21,77,77,77,77,77,77,77,77,3.491291189263161,1.2711748232711804,0
thermal_only,-58.0,0,22,8,8,8,8,8,8,8,8,5.38450701090076,1.2896815638181367,0
thermal_only,-58.0,0,23,301,301,301,301,301,301,301,301,5.682406778060925,1.2659207177789238,0
thermal_only,-58.0,0,24,881,881,881,881,881,881,881,881,5.057683669978067,1.2942241540011457,0
thermal_only,-58.0,0,25,988,988,988,988,988,988,988,988,9.166616127502621,1.3055676307169424,0
thermal_only,-58.0,0,26,178,178,178,178,178,178,178,178,6.246506569903639,1.269449756309072,0
thermal_only,-58.0,0,27,929,929,929,929,929,929,929,929,7.26340749943314,1.2758471092623624,0
thermal_only,-58.0,0,28,360,360,360,360,360,360,360,360,6.276513400831323,1.2769132166640442,0
thermal_only,-58.0,0,29,115,115,115,115,115,115,115,115,7.576681572666402,1.2907665121777403,0
thermal_only,-58.0,0,30,919,919,919,919,919,919,919,919,5.065397789363505,1.291239345591205,0
thermal_only,-58.0,0,31,540,540,540,540,540,540,540,540,5.8307949210995025,1.2686224007242355,0
thermal_only,-58.0,0,32,332,332,332,332,332,332,332,332,5.671071203503423,1.2747970450154191,0
thermal_only,-58.0,0,33,292,292,292,292,292,292,292,292,5.48726904956153,1.2760487973654049,0
thermal_only,-58.0,0,34,193,193,193,193,193,193,193,193,6.272445971995477,1.2747688036861888,0
thermal_only,-58.0,0,35,635,635,635,635,635,635,635,635,6.504667045197331,1.265534352269673,0
thermal_only,-58.0,0,36,286,286,286,286,286,286,286,286,6.9017417839787925,1.2743194940358555,0
thermal_only,-58.0,0,37,446,446,446,446,446,446,446,446,4.94817091441007,1.2711739284873218,0
thermal_only,-58.0,0,38,562,562,562,562,562,562,562,562,5.410538659937015,1.2813659851631496,0
thermal_only,-58.0,0,39,23,23,23,23,23,23,23,23,8.996440834890725,1.2753239465032888,0
thermal_only,-58.0,0,40,87,87,87,87,87,87,87,87,7.963177307692375,1.2885420452063399,0
thermal_only,-58.0,0,41,249,249,249,249,249,249,249,249,5.977684930013365,1.281262873619827,0
thermal_only,-58.0,0,42,114,114,114,114,114,114,114,114,6.922331074030767,1.286434217680223,0
thermal_only,-58.0,0,43,105,105,105,105,105,105,105,105,7.654295415360268,1.2747792177518291,0
thermal_only,-58.0,0,44,116,116,116,116,116,116,116,116,8.32450218550979,1.2774497064362345,0
thermal_only,-58.0,0,45,869,869,869,869,869,869,869,869,3.707177508627976,1.2762229239053564,0
thermal_only,-58.0,0,46,246,246,246,246,246,246,246,246,5.104073650063826,1.2832017252370014,0
thermal_only,-58.0,0,47,673,673,673,673,673,673,673,673,5.625295907959897,1.292605243163821,0
thermal_only,-58.0,0,48,265,265,265,265,265,265,265,265,4.6578368703084365,1.28826967492715,0
thermal_only,-58.0,0,49,104,104,104,104,104,104,104,104,7.369174837430811,1.2638367837783973,0
thermal_only,-58.0,0,50,272,272,272,272,272,272,272,272,5.386336590690583,1.2705553309487176,0
thermal_only,-58.0,0,51,759,759,759,759,759,759,759,759,7.381165186967643,1.2859981138906553,0
thermal_only,-58.0,0,52,429,429,429,429,429,429,429,429,6.856196512539138,1.2894746993654413,0
thermal_only,-58.0,0,53,880,880,880,880,880,880,880,880,5.41215282982832,1.281289055225103,0
thermal_only,-58.0,0,54,720,720,720,720,720,720,720,720,5.188693647817245,1.2775103577534073,0
thermal_only,-58.0,0,55,326,326,326,326,326,326,326,326,7.441839062392206,1.2750351957631791,0
thermal_only,-58.0,0,56,853,853,853,853,853,853,853,853,6.283120279016423,1.2734084992826744,0
thermal_only,-58.0,0,57,737,737,737,737,737,737,737,737,4.7148344952981915,1.2735773782334037,0
thermal_only,-58.0,0,58,803,803,803,803,803,803,803,803,5.9836087959413895,1.2840319537908504,0
thermal_only,-58.0,0,59,411,411,411,411,411,411,411,411,6.097420692747808,1.2770722087184854,0
thermal_only,-58.0,0,60,949,949,949,949,949,949,949,949,6.948727838647699,1.2697424046876338,0
thermal_only,-58.0,0,61,76,76,76,76,76,76,76,76,4.517613394272808,1.2776769359564941,0
thermal_only,-58.0,0,62,303,303,303,303,303,303,303,303,5.3779001652707725,1.2773761034655442,0
thermal_only,-58.0,0,63,644,644,644,644,644,644,644,644,5.197824875570105,1.2856180830338344,0
thermal_only,-58.0,0,64,744,744,744,744,744,744,744,744,5.065901627201113,1.2600850818632467,0
thermal_only,-58.0,0,65,534,534,534,534,534,534,534,534,6.674613659425289,1.265756267879983,0
thermal_only,-58.0,0,66,182,182,182,182,182,182,182,182,5.6102361298091195,1.2699661778641553,0
thermal_only,-58.0,0,67,736,736,736,736,736,736,736,736,6.014932756510104,1.2804275867999375,0
thermal_only,-58.0,0,68,776,776,776,776,776,776,776,776,5.937722867037819,1.2896739205626033,0
thermal_only,-58.0,0,69,578,578,578,578,578,578,578,578,4.886753895549552,1.2812667962114055,0
thermal_only,-58.0,0,70,557,557,557,557,557,557,557,557,7.0354475766524285,1.2655980110084488,0
thermal_only,-58.0,0,71,375,375,375,375,375,375,375,375,5.167456859157249,1.2775762515030227,0
thermal_only,-58.0,0,72,437,437,437,437,437,437,437,437,6.627340978621445,1.2677943426988174,0
thermal_only,-58.0,0,73,1012,1012,1012,1012,1012,1012,1012,1012,7.059704428696326,1.2787094694711238,0
thermal_only,-58.0,0,74,921,921,921,921,921,921,921,921,4.972707924862662,1.2697689471729512,0
thermal_only,-58.0,0,75,61,61,61,61,61,61,61,61,4.479481857542058,1.30034901070097,0
thermal_only,-58.0,0,76,714,714,714,714,714,714,714,714,5.36465140040452,1.2910279252504087,0
thermal_only,-58.0,0,77,3,3,3,3,3,3,3,3,6.079354694754472,1.2847664507347125,0
thermal_only,-58.0,0,78,957,957,957,957,957,957,957,957,6.589134942491979,1.277716579743152,0
thermal_only,-58.0,0,79,578,578,578,578,578,578,578,578,6.754441620902583,1.2856994612296093,0
thermal_only,-58.0,0,80,491,491,491,491,491,491,491,491,6.130327085907325,1.2810166371580778,0
thermal_only,-58.0,0,81,404,404,404,404,404,404,404,404,4.46589886663209,1.2866982637025686,0
thermal_only,-58.0,0,82,361,361,361,361,361,361,361,361,6.081991037711968,1.2728117768639855,0
thermal_only,-58.0,0,83,37,37,37,37,37,37,37,37,6.767897810561896,1.2808860740717214,0
thermal_only,-58.0,0,84,185,185,185,185,185,185,185,185,5.364303347339952,1.2828145521818664,0
thermal_only,-58.0,0,85,198,198,198,198,198,198,198,198,4.6055164953569205,1.2903952304113988,0
thermal_only,-58.0,0,86,692,692,692,692,692,692,692,692,6.665587195122653,1.27788240948864,0
thermal_only,-58.0,0,87,51,51,51,51,51,51,51,51,7.255232294923985,1.2769791839031848,0
thermal_only,-58.0,0,88,398,398,398,398,398,398,398,398,3.5147395972354922,1.27312819606997,0
thermal_only,-58.0,0,89,741,741,741,741,741,741,741,741,6.115989512619614,1.2979318626158263,0
thermal_only,-58.0,0,90,929,929,929,929,929,929,929,929,5.185484439543739,1.2857350445615667,0
thermal_only,-58.0,0,91,57,57,57,57,57,57,57,57,7.700354909814458,1.2954752395002653,0
thermal_only,-58.0,0,92,546,546,546,546,546,546,546,546,5.6711227668139035,1.2870538773690448,0
thermal_only,-58.0,0,93,268,268,268,268,268,268,268,268,5.393199385458985,1.2781822579478883,0
thermal_only,-58.0,0,94,148,148,148,148,148,148,148,148,5.049853662914882,1.2863261976862326,0
thermal_only,-58.0,0,95,291,291,291,291,291,291,291,291,6.61411846516093,1.2812658639126078,0
thermal_only,-58.0,0,96,916,916,916,916,916,916,916,916,6.830605461866592,1.2881028741641691,0
thermal_only,-58.0,0,97,651,651,651,651,651,651,651,651,4.826565353439717,1.2771125074543805,0
thermal_only,-58.0,0,98,760,760,760,760,760,760,760,760,4.272242351727699,1.296679365820346,0
thermal_only,-58.0,0,99,467,467,467,467,467,467,467,467,6.499138635125608,1.2812163848468037,0
thermal_only,-58.0,0,100,872,872,872,872,872,872,872,872,7.579798246354565,1.2815608233408295,0
thermal_only,-58.0,0,101,590,590,590,590,590,590,590,590,3.661828562135553,1.282426036983256,0
thermal_only,-58.0,0,102,569,569,569,569,569,569,569,569,5.363837950844875,1.279372029041468,0
thermal_only,-58.0,0,103,315,315,315,315,315,315,315,315,6.76499761842288,1.2802569398721408,0
thermal_only,-58.0,0,104,498,498,498,498,498,498,498,498,6.7445157076142355,1.2809125109216732,0
thermal_only,-58.0,0,105,23,23,23,23,23,23,23,23,5.9146242370548165,1.2841200168591043,0
thermal_only,-58.0,0,106,716,716,716,716,716,716,716,716,9.287068025416671,1.2717728364944483,0
thermal_only,-58.0,0,107,748,748,748,748,748,748,748,748,8.239952601150213,1.2865518579784567,0
thermal_only,-58.0,0,108,767,767,767,767,767,767,767,767,3.389786206172269,1.2693704012898173,0
thermal_only,-58.0,0,109,994,994,994,994,994,994,994,994,4.32894180401758,1.2960567598637527,0
thermal_only,-58.0,0,110,509,509,509,509,509,509,509,509,7.640202536686031,1.2760440403079445,0
thermal_only,-58.0,0,111,74,74,74,74,74,74,74,74,6.90875414786678,1.288267776991396,0
thermal_only,-58.0,0,112,512,512,512,512,512,512,512,512,6.323915070074259,1.272134597299241,0
thermal_only,-58.0,0,113,7,7,7,7,7,7,7,7,4.49919274773908,1.2746486365834186,0
thermal_only,-58.0,0,114,728,728,728,728,728,728,728,728,6.457398760423497,1.2889450178997075,0
thermal_only,-58.0,0,115,605,605,605,605,605,605,605,605,6.095396057809653,1.291452300435696,0
thermal_only,-58.0,0,116,912,912,912,912,912,912,912,912,6.625444444284892,1.275316214326818,0
thermal_only,-58.0,0,117,699,699,699,699,699,699,699,699,3.1641547137815715,1.273847010206171,0
thermal_only,-58.0,0,118,747,747,747,747,747,747,747,747,4.903871110627216,1.2939817381607925,0
thermal_only,-58.0,0,119,929,929,929,929,929,929,929,929,6.923129221985722,1.2868160287360926,0
thermal_only,-58.0,0,120,583,583,583,583,583,583,583,583,6.146224750681148,1.2784479647465252,0
thermal_only,-58.0,0,121,917,917,917,917,917,917,917,917,5.495888246769658,1.2880121528723176,0
thermal_only,-58.0,0,122,317,317,317,317,317,317,317,317,4.628334182430157,1.286626529615891,0
thermal_only,-58.0,0,123,719,719,719,719,719,719,719,719,6.362399375669604,1.2734394189666554,0
thermal_only,-58.0,0,124,809,809,809,809,809,809,809,809,4.555981509885962,1.271210695681778,0
thermal_only,-58.0,0,125,263,263,263,263,263,263,263,263,5.712421185909934,1.2857008864958834,0
thermal_only,-58.0,0,126,585,585,585,585,585,585,585,585,5.903472929863467,1.2791949795946935,0
thermal_only,-58.0,0,127,114,114,114,114,114,114,114,114,6.722533193230337,1.2726056481420978,0
thermal_only,-58.0,0,128,532,532,532,532,532,532,532,532,6.889669526432883,1.2751928746303671,0
thermal_only,-58.0,0,129,215,215,215,215,215,215,215,215,4.689725085556208,1.2871911875925983,0
thermal_only,-58.0,0,130,521,521,521,521,521,521,521,521,5.275557022931274,1.2775530716924042,0
thermal_only,-58.0,0,131,68,68,68,68,68,68,68,68,7.895426902707828,1.268989961499615,0
thermal_only,-58.0,0,132,929,929,929,929,929,929,929,929,5.419492203189645,1.2894389239925585,0
thermal_only,-58.0,0,133,436,436,436,436,436,436,436,436,5.598518882616751,1.2716455756792824,0
thermal_only,-58.0,0,134,619,619,619,619,619,619,619,619,5.6577145211887085,1.2856964882679498,0
thermal_only,-58.0,0,135,879,879,879,879,879,879,879,879,5.671417281643075,1.2714285435722545,0
thermal_only,-58.0,0,136,749,749,749,749,749,749,749,749,6.0530311385066815,1.2870465035198642,0
thermal_only,-58.0,0,137,920,920,920,920,920,920,920,920,4.257642078471288,1.2983012350683034,0
thermal_only,-58.0,0,138,127,127,127,127,127,127,127,127,6.031008312228928,1.2888105524357305,0
thermal_only,-58.0,0,139,362,362,362,362,362,362,362,362,5.955507639580261,1.2950904905507798,0
thermal_only,-58.0,0,140,860,860,860,860,860,860,860,860,7.3123838543096555,1.2710959929958328,0
thermal_only,-58.0,0,141,238,238,238,238,238,238,238,238,5.271329071164949,1.257432743344863,0
thermal_only,-58.0,0,142,907,907,907,907,907,907,907,907,6.153748525689617,1.2971800880866282,0
thermal_only,-58.0,0,143,608,608,608,608,608,608,608,608,6.326806294761955,1.2618641679751745,0
thermal_only,-58.0,0,144,74,74,74,74,74,74,74,74,7.2821118815862915,1.2907246822028628,0
thermal_only,-58.0,0,145,639,639,639,639,639,639,639,639,8.617036590570198,1.268929275640087,0
thermal_only,-58.0,0,146,555,555,555,555,555,555,555,555,7.047149628751851,1.2733326615335026,0
thermal_only,-58.0,0,147,825,825,825,825,825,825,825,825,6.683873177871044,1.2840722275136944,0
thermal_only,-58.0,0,148,469,469,469,469,469,469,469,469,7.264646305823006,1.281636618423461,0
thermal_only,-58.0,0,149,31,31,31,31,31,31,31,31,6.321932079152662,1.2706408208687698,0
thermal_only,-58.0,0,150,777,777,777,777,777,777,777,777,6.906830284804553,1.2826077681076649,0
thermal_only,-58.0,0,151,126,126,126,126,126,126,126,126,8.600101035160414,1.2898170340375565,0
thermal_only,-58.0,0,152,83,83,83,83,83,83,83,83,6.036486574120776,1.2862133630140233,0
thermal_only,-58.0,0,153,628,628,628,628,628,628,628,628,5.560035793804912,1.2732847327130516,0
thermal_only,-58.0,0,154,178,178,178,178,178,178,178,178,6.2081972384949315,1.284970699978362,0
thermal_only,-58.0,0,155,1007,1007,1007,1007,1007,1007,1007,1007,5.096189954179492,1.2964215051174053,0
thermal_only,-58.0,0,156,600,600,600,600,600,600,600,600,7.31632171436461,1.2833853309136596,0
thermal_only,-58.0,0,157,413,413,413,413,413,413,413,413,6.8095503980493985,1.288594769236197,0
thermal_only,-58.0,0,158,595,595,595,595,595,595,595,595,4.645948591676598,1.2612229199497977,0
thermal_only,-58.0,0,159,52,52,52,52,52,52,52,52,6.203574170370124,1.2740337178803824,0
thermal_only,-58.0,0,160,855,855,855,855,855,855,855,855,6.623587473668299,1.2793994249387028,0
thermal_only,-58.0,0,161,351,351,351,351,351,351,351,351,6.202916326176295,1.2803697867456993,0
thermal_only,-58.0,0,162,617,617,617,617,617,617,617,617,9.147198713725963,1.2763571311710917,0
thermal_only,-58.0,0,163,950,950,950,950,950,950,950,950,6.8533134735988375,1.2800890889850256,0
thermal_only,-58.0,0,164,235,235,235,235,235,235,235,235,5.519745437591348,1.276281767174352,0
thermal_only,-58.0,0,165,242,242,242,242,242,242,242,242,5.4896207969661095,1.285267016193003,0
thermal_only,-58.0,0,166,420,420,420,420,420,420,420,420,5.8977339623068765,1.2795001129950494,0
thermal_only,-58.0,0,167,336,336,336,336,336,336,336,336,6.501433543779802,1.2813883157220167,0
thermal_only,-58.0,0,168,798,798,798,798,798,798,798,798,7.0392841378100215,1.2997461210227688,0
thermal_only,-58.0,0,169,1008,1008,1008,1008,1008,1008,1008,1008,7.354052187060036,1.2875863194409516,0
thermal_only,-58.0,0,170,287,287,287,287,287,287,287,287,5.39977754795988,1.2958411209765042,0
thermal_only,-58.0,0,171,265,265,265,265,265,265,265,265,4.804568939051977,1.270198791264185,0
thermal_only,-58.0,0,172,435,435,435,435,435,435,435,435,7.174747846907723,1.2674941317732473,0
thermal_only,-58.0,0,173,170,170,170,170,170,170,170,170,8.4710484613682,1.2742853913997723,0
thermal_only,-58.0,0,174,863,863,863,863,863,863,863,863,3.35801836768068,1.2973480570154996,0
thermal_only,-58.0,0,175,829,829,829,829,829,829,829,829,5.051530204601635,1.2879242295023448,0
thermal_only,-58.0,0,176,416,416,416,416,416,416,416,416,7.084303351651674,1.279247755839921,0
thermal_only,-58.0,0,177,937,937,937,937,937,937,937,937,4.716012386447224,1.2823725037826568,0
thermal_only,-58.0,0,178,506,506,506,506,506,506,506,506,3.3615652893051786,1.2798327741132147,0
thermal_only,-58.0,0,179,343,343,343,343,343,343,343,343,6.323945661654827,1.265681741644837,0
thermal_only,-58.0,0,180,494,494,494,494,494,494,494,494,4.520346061291873,1.271306007940464,0
thermal_only,-58.0,0,181,513,513,513,513,513,513,513,513,8.36532893458328,1.2548455007862411,0
thermal_only,-58.0,0,182,562,562,562,562,562,562,562,562,3.8193614902822355,1.273681179290946,0
thermal_only,-58.0,0,183,723,723,723,723,723,723,723,723,6.0094741910353635,1.276444032860049,0
thermal_only,-58.0,0,184,197,197,197,197,197,197,197,197,6.254654744462411,1.2744958965019886,0
thermal_only,-58.0,0,185,954,954,954,954,954,954,954,954,6.999895858557286,1.2891879807593791,0
thermal_only,-58.0,0,186,487,487,487,487,487,487,487,487,6.416942766696386,1.2830102521183444,0
thermal_only,-58.0,0,187,1019,1019,1019,1019,1019,1019,1019,1019,2.4462340027680165,1.291148356712213,0
thermal_only,-58.0,0,188,413,413,413,413,413,413,413,413,5.215545450621302,1.2827196702994976,0
thermal_only,-58.0,0,189,197,197,197,197,197,197,197,197,3.938553610407633,1.2722821982829362,0
thermal_only,-58.0,0,190,320,320,320,320,320,320,320,320,6.025253824936316,1.2791586598323093,0
thermal_only,-58.0,0,191,164,164,164,164,164,164,164,164,6.4621800841095105,1.2860681504780607,0
thermal_only,-58.0,0,192,477,477,477,477,477,477,477,477,5.038612370479932,1.2866124674650905,0
thermal_only,-58.0,0,193,141,141,141,141,141,141,141,141,4.56539980120941,1.2739031549448838,0
thermal_only,-58.0,0,194,802,802,802,802,802,802,802,802,5.033310992149456,1.266351135428027,0
thermal_only,-58.0,0,195,595,595,595,595,595,595,595,595,6.659643435753049,1.2733460500912759,0
thermal_only,-58.0,0,196,135,135,135,135,135,135,135,135,7.889161908051658,1.268985677030783,0
thermal_only,-58.0,0,197,197,197,197,197,197,197,197,197,5.834052256999282,1.2978605713344589,0
thermal_only,-58.0,0,198,206,206,206,206,206,206,206,206,7.181472784949159,1.293696461537661,0
thermal_only,-58.0,0,199,654,654,654,654,654,654,654,654,5.938413057530005,1.3152440281853555,0
thermal_only,-58.0,1,0,165,165,165,165,165,165,165,165,5.886418867116424,1.2729873927274462,0
thermal_only,-58.0,1,1,738,738,738,738,738,738,738,738,5.723097172639195,1.3012770542771408,0
thermal_only,-58.0,1,2,921,921,921,921,921,921,921,921,6.299133083343631,1.2859030224685677,0
thermal_only,-58.0,1,3,319,319,319,319,319,319,319,319,6.995313751897466,1.2729663906047795,0
thermal_only,-58.0,1,4,205,205,205,205,205,205,205,205,5.271369950583724,1.2819695193147616,0
thermal_only,-58.0,1,5,137,137,137,137,137,137,137,137,8.734420092848918,1.2734440658891215,0
thermal_only,-58.0,1,6,974,974,974,974,974,974,974,974,7.685053407042073,1.2730590888818254,0
thermal_only,-58.0,1,7,951,951,951,951,951,951,951,951,7.24335174582098,1.260305815368547,0
thermal_only,-58.0,1,8,939,939,939,939,939,939,939,939,7.84257731262624,1.2874714974623052,0
thermal_only,-58.0,1,9,967,967,967,967,967,967,967,967,7.331215823638812,1.2868009015330122,0
thermal_only,-58.0,1,10,372,372,372,372,372,372,372,372,4.836405644841663,1.2898247187094791,0
thermal_only,-58.0,1,11,43,43,43,43,43,43,43,43,5.341076560387603,1.3016997635320033,0
thermal_only,-58.0,1,12,829,829,829,829,829,829,829,829,6.636278476550219,1.2931114443270875,0
thermal_only,-58.0,1,13,857,857,857,857,857,857,857,857,6.778547424206998,1.2810736894907075,0
thermal_only,-58.0,1,14,888,888,888,888,888,888,888,888,5.619659315813056,1.2716513530283742,0
thermal_only,-58.0,1,15,480,480,480,480,480,480,480,480,5.032716499971687,1.2773359149365338,0
thermal_only,-58.0,1,16,843,843,843,843,843,843,843,843,6.474934241450104,1.2874078885947315,0
thermal_only,-58.0,1,17,796,796,796,796,796,796,796,796,6.087296417313835,1.2879668957002097,0
thermal_only,-58.0,1,18,658,658,658,658,658,658,658,658,5.5935451289150615,1.2697239475612498,0
thermal_only,-58.0,1,19,361,361,361,361,361,361,361,361,7.170297450841401,1.2745631061792622,0
thermal_only,-58.0,1,20,699,699,699,699,699,699,699,699,6.091973924068511,1.2746360394031175,0
thermal_only,-58.0,1,21,115,115,115,115,115,115,115,115,7.944245478109458,1.2698285221352563,0
thermal_only,-58.0,1,22,235,235,235,235,235,235,235,235,6.346884455926337,1.2893729227923443,0
thermal_only,-58.0,1,23,888,888,888,888,888,888,888,888,4.186605969243755,1.284261397337634,0
thermal_only,-58.0,1,24,849,849,849,849,849,849,849,849,5.864676442459913,1.2652527928810564,0
thermal_only,-58.0,1,25,221,221,221,221,221,221,221,221,6.6851899263973635,1.2804764560931166,0
thermal_only,-58.0,1,26,703,703,703,703,703,703,703,703,6.329084793369098,1.2903535994695747,0
thermal_only,-58.0,1,27,601,601,601,601,601,601,601,601,7.37060227662102,1.2855714564607506,0
thermal_only,-58.0,1,28,20,20,20,20,20,20,20,20,6.43439316615302,1.290308038028616,0
thermal_only,-58.0,1,29,12,12,12,12,12,12,12,12,6.36884458775234,1.2933342677165605,0
thermal_only,-58.0,1,30,467,467,467,467,467,467,467,467,7.491899279395195,1.2857174156371594,0
thermal_only,-58.0,1,31,410,410,410,410,410,410,410,410,7.985803190202944,1.2812437410988826,0
thermal_only,-58.0,1,32,199,199,199,199,199,199,199,199,8.50195025598319,1.2816324898929867,0
thermal_only,-58.0,1,33,1020,1020,1020,1020,1020,1020,1020,1020,8.068942319994724,1.282922378733083,0
thermal_only,-58.0,1,34,142,142,142,142,142,142,142,142,6.796711442612077,1.2822080649267624,0
thermal_only,-58.0,1,35,619,619,619,619,619,619,619,619,5.398921629276504,1.2779047245863635,0
thermal_only,-58.0,1,36,426,426,426,426,426,426,426,426,5.238105657601082,1.2853370198016663,0
thermal_only,-58.0,1,37,84,84,84,84,84,84,84,84,7.006987263687234,1.2733511329213665,0
thermal_only,-58.0,1,38,829,829,829,829,829,829,829,829,3.8150858430352086,1.2928368256879281,0
thermal_only,-58.0,1,39,361,361,361,361,361,361,361,361,6.536736355326004,1.2775069830289196,0
thermal_only,-58.0,1,40,574,574,574,574,574,574,574,574,8.771482848523148,1.2813651855521495,0
thermal_only,-58.0,1,41,736,736,736,736,736,736,736,736,4.53913800090281,1.2947154546277186,0
thermal_only,-58.0,1,42,520,520,520,520,520,520,520,520,6.5751187860658415,1.2731191572489167,0
thermal_only,-58.0,1,43,973,973,973,973,973,973,973,973,6.581576748950089,1.2826965338320386,0
thermal_only,-58.0,1,44,555,555,555,555,555,555,555,555,6.194175854104964,1.2873166412318866,0
thermal_only,-58.0,1,45,437,437,437,437,437,437,437,437,3.9626537898892806,1.2743494927977075,0
thermal_only,-58.0,1,46,981,981,981,981,981,981,981,981,7.325871211595095,1.2563838324945134,0
thermal_only,-58.0,1,47,132,132,132,132,132,132,132,132,7.306036990546447,1.271754422742692,0
thermal_only,-58.0,1,48,799,799,799,799,799,799,799,799,5.692758494685295,1.28047533037589,0
thermal_only,-58.0,1,49,1010,1010,1010,1010,1010,1010,1010,1010,5.644012814416776,1.273642151974324,0
thermal_only,-58.0,1,50,296,296,296,296,296,296,296,296,4.51553309979902,1.2741159302144023,0
thermal_only,-58.0,1,51,480,480,480,480,480,480,480,480,6.248444959719116,1.2764874665928396,0
thermal_only,-58.0,1,52,95,95,95,95,95,95,95,95,4.581169239299066,1.279629620632746,0
thermal_only,-58.0,1,53,767,767,767,767,767,767,767,767,7.071966598634797,1.2832487240428376,0
thermal_only,-58.0,1,54,97,97,97,97,97,97,97,97,5.498263184432468,1.2871483467554854,0
thermal_only,-58.0,1,55,406,406,406,406,406,406,406,406,6.917710174667358,1.2826275341269433,0
thermal_only,-58.0,1,56,428,428,428,428,428,428,428,428,4.808920423237583,1.2819387212592677,0
thermal_only,-58.0,1,57,246,246,246,246,246,246,246,246,5.472077058488969,1.2742547384208534,0
thermal_only,-58.0,1,58,322,322,322,322,322,322,322,322,7.283875695625724,1.2792368261969491,0
thermal_only,-58.0,1,59,726,726,726,726,726,726,726,726,4.733023825500339,1.2918918105047295,0
thermal_only,-58.0,1,60,539,539,539,539,539,539,539,539,7.373751727685707,1.2788803171114198,0
thermal_only,-58.0,1,61,831,831,831,831,831,831,831,831,5.846765850273917,1.2822774237841232,0
thermal_only,-58.0,1,62,92,92,92,92,92,92,92,92,8.411714277439527,1.2738279153913425,0
thermal_only,-58.0,1,63,173,173,173,173,173,173,173,173,6.736448175199047,1.2885036142768544,0
thermal_only,-58.0,1,64,803,803,803,803,803,803,803,803,7.780622251301398,1.2737469808029398,0
thermal_only,-58.0,1,65,395,395,395,395,395,395,395,395,6.491805346367086,1.3043925023466596,0
thermal_only,-58.0,1,66,80,80,80,80,80,80,80,80,7.401004738685911,1.2853242753695535,0
thermal_only,-58.0,1,67,791,791,791,791,791,791,791,791,3.8898757750932567,1.277104786125709,0
thermal_only,-58.0,1,68,58,58,58,58,58,58,58,58,5.842435487179035,1.2714104039003298,0
thermal_only,-58.0,1,69,326,326,326,326,326,326,326,326,5.835565799593825,1.2751842468022392,0
thermal_only,-58.0,1,70,933,933,933,933,933,933,933,933,6.001438916718787,1.2879079882161784,0
thermal_only,-58.0,1,71,61,61,61,61,61,61,61,61,7.220746512889389,1.273939336536507,0
thermal_only,-58.0,1,72,961,961,961,961,961,961,961,961,7.873156261422327,1.276471247938346,0
thermal_only,-58.0,1,73,797,797,797,797,797,797,797,797,5.321018680834274,1.2864304945574017,0
